Parcelle;Traitement;Herbivorie_enveloppe;Herbivorie;Sp;nb_ind;m_frais;nb_emb1;nb_emb2;nb_emb3;nb_emb4;nb_emb5;nb_emb6;nb_emb7;nb_emb8;nb_emb9;nb_emb10;nb_emb_moy;m_vert;m_brun;Fonct_H1;Fonct_H2;Fonct_H3;Fonct_H4;Fonct_H5;Fonct_H6;Fonct_H7;Fonct_H8;Fonct_H9;Fonct_H10;Fonct_H_moy;Vert_H1;Vert_H2;Vert_H3;Vert_H4;Vert_H5;Vert_H6;Vert_H7;Vert_H8;Vert_H9;Vert_H10;Vert_H_moy;An1_H1;An1_H2;An1_H3;An1_H4;An1_H5;An1_H6;An1_H7;An1_H8;An1_H9;An1_H10;An1_H_moy;An2_H1;An2_H2;An2_H3;An2_H4;An2_H5;An2_H6;An2_H7;An2_H8;An2_H9;An2_H10;An2_H_moy;An3_H1;An3_H2;An3_H3;An3_H4;An3_H5;An3_H6;An3_H7;An3_H8;An3_H9;An3_H10;An3_H_moy;An4_H1;An4_H2;An4_H3;An4_H4;An4_H5;An4_H6;An4_H7;An4_H8;An4_H9;An4_H10;An4_H_moy;An5_H1;An5_H2;An5_H3;An5_H4;An5_H5;An5_H6;An5_H7;An5_H8;An5_H9;An5_H10;An5_H_moy;pH_1;pH_2;pH_3;pH_moy;T_pièce;P_Ulaval;P_CNETE;Si;LA;dNormC13;dNNorm15;%C;%N;Ratio_CN
ROC6;10;Brouté;Témoin;Aul.pal;1;0,2619;9;;;;;;;;;;9;0,0032;0,0264;2,6;;;;;;;;;;2,6;0,9;;;;;;;;;;0,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,93305930710511;-26,33035523;8,294261135;19,9782116;0,711867843;28,06449518
ROC6;10;Brouté;Témoin;Aul.tur;9;0,5389;1;1;3;1;1;1;1;2;3;;1,55555555555556;0,004;0,0833;3,8;2,6;4,2;2,3;2,4;2,8;3;2,6;3,8;;3,05555555555556;0,1;0;0,2;0;0;0;0,1;0,2;0,2;;0,0888888888888889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,13;;;6,47380410022779;-25,48691377;9,486714245;17,8764029;0,401736241;44,49785969
ROC6;10;Brouté;Témoin;Bry.pse;10;0,0532;1;1;1;1;1;1;1;1;1;2;1,1;0;0,0093;1,3;1,2;1;1,9;1,4;2,1;1,8;1,5;2,2;2,3;1,67;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,63;6,8;;6,715;21,5;0,24;;;1,42649524874231;-25,9737608743268;-0,821646103100663;20,3259243;0,7567464;26,8596247038638
ROC6;10;Brouté;Témoin;Sco.rev;3;0,0933;2;3;2;;;;;;;;2,33333333333333;0,0006;0,0093;1,8;2,1;2,2;;;;;;;;2,03333333333333;0;0,2;0,5;;;;;;;;0,233333333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,32;7,44;;7,38;21,4;;;;1,3595064498037;-25,6794886667723;-0,691179182735648;15,4764742;0,6269584;24,6850097231331
ROC6;10;Brouté;Témoin;Sco.cos;5;0,0189;1;1;1;2;2;;;;;;1,4;0;0,0031;2,5;1,3;1,6;1,7;0,7;;;;;;1,56;0;0;0;0;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;6,81;;6,905;21,4;0,24;;;0,637045585689556;-25,5492533316722;-1,04544705111142;15,1871585;0,5505774;27,5840572097583
ROC6;10;Brouté;Témoin;Phi.tom;7;0,0937;4;1;1;3;4;3;9;;;;3,57142857142857;0,0006;0,0144;2,7;3;3,5;2,3;1,4;1,4;2,5;;;;2,4;0,2;0;0;0;0,5;0,4;0,8;;;;0,271428571428571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,68;6,75;;6,715;21,4;;1206;478;2,10011641443539;-26,6468091328215;-1,38064667728;19,4849938;0,7321124;26,614757242194
ROC6;14;Non Brouté;Exclos;Aul.tur;10;0,3092;1;1;1;1;1;1;1;1;1;2;1,1;0,0051;0,0218;4,1;3,9;3,5;3,4;4,6;3,5;4,2;5;2,3;2,1;3,66;1,7;1;1,6;1,3;0;0,3;1,2;1,4;0;0;0,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,89;6,16;;6,025;21,5;0,07;;;6,5041782729805;-25,9588484313764;1,71744088554156;37,6115471;0,7870176;47,7899695000468
ROC6;14;Non Brouté;Exclos;Aul.pal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,7;5,67;;5,685;21,5;0,08;;;;-25,8733504251275;1,66726130078578;29,6323438;0,6749597;43,9023897278608
ROC6;14;Brouté;Témoin;Phi.tom;10;0,2126;10;11;8;5;5;1;4;6;4;4;5,8;0;0,0245;2;3,5;3,4;1,5;2,3;1,5;3,3;3;3,1;3,5;2,71;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,5;5,68;;5,59;21,5;0,1;;;5,48571428571429;-26,0373872975819;-0,935051964648715;31,9431205;0,9601879;33,2675724199399
ROC6;14;Brouté;Témoin;Bra.alb;10;0,5614;9;2;7;5;9;11;8;6;6;3;6,6;0,0163;0,0177;3,1;2,9;3,1;3,1;3,2;3,7;3,2;1,3;2,5;3,1;2,92;2,2;1,6;1,3;1,7;1,4;1,2;2,2;0,6;1,5;2;1,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,82;6,5;6,43;6,58333333333333;21,5;0,1;;;9,3840830449827;-25,8564496564504;-0,405155549627729;32,42228;1,082936;29,9392392532892
