"Titre de tracé : 20177023"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20177023, SEN S/N: 20177023)","Coupleur détaché (LGR S/N: 20177023)","Pile défectueuse (LGR S/N: 20177023)","Coupleur attaché (LGR S/N: 20177023)","Hôte connecté (LGR S/N: 20177023)","Fin de fichier (LGR S/N: 20177023)"
433,07/31/18 09:57:23 PM,4.934,,,,,
434,07/31/18 10:57:23 PM,4.311,,,,,
435,07/31/18 11:57:23 PM,3.683,,,,,
436,08/01/18 12:57:23 AM,3.155,,,,,
437,08/01/18 01:57:23 AM,2.730,,,,,
438,08/01/18 02:57:23 AM,2.410,,,,,
439,08/01/18 03:57:23 AM,2.088,,,,,
440,08/01/18 04:57:23 AM,1.872,,,,,
441,08/01/18 05:57:23 AM,1.656,,,,,
442,08/01/18 06:57:23 AM,1.548,,,,,
443,08/01/18 07:57:23 AM,1.439,,,,,
444,08/01/18 08:57:23 AM,1.548,,,,,
445,08/01/18 09:57:23 AM,2.088,,,,,
446,08/01/18 10:57:23 AM,2.837,,,,,
447,08/01/18 11:57:23 AM,3.578,,,,,
448,08/01/18 12:57:23 PM,4.207,,,,,
449,08/01/18 01:57:23 PM,4.623,,,,,
450,08/01/18 02:57:23 PM,4.831,,,,,
451,08/01/18 03:57:23 PM,4.831,,,,,
452,08/01/18 04:57:23 PM,4.727,,,,,
453,08/01/18 05:57:23 PM,4.727,,,,,
454,08/01/18 06:57:23 PM,4.519,,,,,
455,08/01/18 07:57:23 PM,4.415,,,,,
456,08/01/18 08:57:23 PM,4.102,,,,,
457,08/01/18 09:57:23 PM,3.788,,,,,
458,08/01/18 10:57:23 PM,3.367,,,,,
459,08/01/18 11:57:23 PM,3.049,,,,,
460,08/02/18 12:57:23 AM,2.837,,,,,
461,08/02/18 01:57:23 AM,2.624,,,,,
462,08/02/18 02:57:23 AM,2.517,,,,,
463,08/02/18 03:57:23 AM,2.303,,,,,
464,08/02/18 04:57:23 AM,2.303,,,,,
465,08/02/18 05:57:23 AM,2.195,,,,,
466,08/02/18 06:57:23 AM,2.303,,,,,
467,08/02/18 07:57:23 AM,2.410,,,,,
468,08/02/18 08:57:23 AM,2.624,,,,,
469,08/02/18 09:57:23 AM,2.943,,,,,
470,08/02/18 10:57:23 AM,3.261,,,,,
471,08/02/18 11:57:23 AM,3.683,,,,,
472,08/02/18 12:57:23 PM,4.311,,,,,
473,08/02/18 01:57:23 PM,4.934,,,,,
