Date;Parcelle;Traitement;Exclos;Sous_parcelle;Medaille;Heure_NDVI;Mesure_NDVI;Ombre_NDVI;Red_i   ;NIR_i   ;Red_r   ;NIR_r   ;Blue_i  ;Blue_r  ;Green_i ;Green_r ;Remarque_NDVI;Heure_PRI;Mesure_PRI;Ombre_PRI;531_i   ;570_i   ;531_r   ;570_r   ;Remarque_PRI;;
17/07/2018;ROC7;10;Exclos;NE;320;;;;206,8811;137,1371;5,9413;14,96467;71,79531;0,8690733;89,61236;2,441554;;;;;43,77268;47,69288;1,247527;1,355505;;;
17/07/2018;ROC7;10;Exclos;SE;319;;;;206,9637;136,7353;6,533186;16,39937;71,53072;0,9524381;89,05851;2,630362;;;;;42,08429;45,63907;1,150386;1,206326;;;
17/07/2018;ROC7;10;Exclos;SO;321;;;;212,339;141,2592;6,366852;13,68274;73,19294;0,9959067;91,22499;2,358833;;;;Ombre;27,47341;29,27404;0,7042319;0,7103242;;;
17/07/2018;ROC7;10;Exclos;NO;322;;;;212,7019;141,8279;6,786717;14,81056;73,54501;1,066329;91,65829;2,536497;;;;;43,20716;46,81665;1,061074;1,11887;;;
17/07/2018;ROC7;10;Temoin;NE;316;;;;196,84;130,5883;5,736422;14,3469;68,60104;0,9683751;85,16211;2,27493;;;;;40,75566;44,43692;0,8655125;0,9352415;;;
17/07/2018;ROC7;10;Temoin;SE;317;;;;206,6893;136,7799;5,393485;14,16787;71,26401;0,7559308;88,87445;2,129012;;;;Ombre;41,23397;44,7956;0,9073874;0,9744683;;;
17/07/2018;ROC7;10;Temoin;SO;315;;;;197,3047;130,5596;5,086878;15,58191;68,8635;0,6881608;85,45043;2,087808;;;;Ombre;40,71341;44,41727;0,8608094;0,9378398;;;
17/07/2018;ROC7;10;Temoin;NO;314;;;;196,6129;130,1386;5,290176;15,93358;68,62665;0,7539199;85,18655;2,071883;;;;;40,75566;44,3927;0,7107474;0,7305244;;;
17/07/2018;ROC7;6;Exclos;NE;329;;;;198,3461;131,4344;6,532081;10,96544;69,14516;1,020229;85,80554;2,290785;;;;;41,90442;45,69803;1,154152;1,218563;;;
17/07/2018;ROC7;6;Exclos;SE;331;;;;206,5507;136,9138;5,716361;13,66675;71,36215;0,8489861;88,93472;2,195077;;;;;43,64186;47,43902;0,9581997;1,015053;;;
17/07/2018;ROC7;6;Exclos;SO;332;;;;215,7199;143,4935;6,090259;13,56609;74,34731;0,8998992;92,92234;2,283727;;;;;43,78222;47,51436;1,069215;1,138986;;;
17/07/2018;ROC7;6;Exclos;NO;330;;;;199,0055;131,9403;6,464789;13,3404;69,29453;1,023032;85,94888;2,468519;;;;;40,93554;44,66621;1,058215;1,126581;;;
17/07/2018;ROC7;6;Temoin;NE;325;;;;197,9611;131,3674;3,417369;9,986534;69,07901;0,6171178;85,75667;1,448138;;;;;40,88239;44,57286;0,5559511;0,5971028;;;
17/07/2018;ROC7;6;Temoin;SE;327;;;;214,7818;142,8493;3,336176;7,240707;73,86295;0,5287686;92,19421;1,225984;;;;;42,99866;46,67416;0,4636077;0,4941072;;;
17/07/2018;ROC7;6;Temoin;SO;326;;;;214,174;142,6452;2,368079;7,178318;73,73492;0,388394;92,03945;1,009289;;;;;43,44972;47,22119;0,4430766;0,4763546;;;
17/07/2018;ROC7;6;Temoin;NO;324;;;;199,8124;132,4452;2,284626;8,840851;69,38414;0,3939987;86,1916;1,050928;;;;;40,14381;43,68845;0,4372953;0,4716775;;;
17/07/2018;ROC7;4;Exclos;NE;336;;;;201,0043;133,5432;3,857769;9,324774;69,24545;0,5886663;86,38055;1,589709;;;;;41,72863;45,38521;0,7764191;0,853938;;;
17/07/2018;ROC7;4;Exclos;SE;337;;;;184,5199;122,0018;3,090386;7,551857;64,61301;0,510457;79,79967;1,234138;;;;;41,76406;45,41469;0,5965447;0,6354914;;;
17/07/2018;ROC7;4;Exclos;SO;335;;;;195,657;130,1014;5,722363;14,24892;68,27885;0,8770311;84,79235;2,221591;;;;;41,32254;45,02162;0,9306372;1,02092;;;
17/07/2018;ROC7;4;Exclos;NO;334;;;Ombre;197,4389;131,5619;5,013268;12,23391;68,64586;0,740721;85,36085;1,938743;;;;;41,33344;45,06093;0,8980436;0,9831519;;;
17/07/2018;ROC7;4;Temoin;NE;342;;;;200,0617;133,0267;2,365124;6,382178;69,13876;0,3891641;86,26653;0,9476917;;;;;44,18149;47,9582;0,3953579;0,4307408;;;
17/07/2018;ROC7;4;Temoin;SE;341;;;;212,1413;141,3857;1,801551;6,170346;72,89208;0,3296552;91,06699;0,7815545;;;;;43,63777;47,3948;0,3631081;0,4064839;;;
17/07/2018;ROC7;4;Temoin;SO;339;;;;212,3464;141,6503;1,808358;5,777875;72,91555;0,3398928;91,20381;0,7825803;;;;;43,44699;47,13602;0,4448421;0,3841212;;;
17/07/2018;ROC7;4;Temoin;NO;340;;;;197,3947;131,1208;1,983964;6,130085;68,60531;0,368371;85,31523;0,8339375;;;;;44,01524;47,85993;0,3577487;0,3782707;;;
17/07/2018;ROC7;14;Exclos;NE;301;;;;214,9676;143,131;5,400909;18,50437;73,77546;0,8883261;92,13882;2,501673;;;;;44,16513;47,87304;1,068918;1,115852;;;
17/07/2018;ROC7;14;Exclos;SE;302;;;;214,8378;143,4414;5,579565;15,24383;73,97817;0,9015892;92,42877;2,441415;;;;;44,28505;48,0532;1,088121;1,143865;;;
17/07/2018;ROC7;14;Exclos;SO;122;;;;200,7255;133,674;5,587147;21,45777;69,74261;1,001747;86,67539;2,667758;;;;;41,86626;45,67183;1,121683;1,180795;;;
17/07/2018;ROC7;14;Exclos;NO;105;;;;199,5056;132,6334;4,442548;19,80989;69,29239;0,6952843;86,2649;2,29082;;;;;41,77905;45,56537;0,9421216;1,00652;;;
17/07/2018;ROC7;14;Temoin;NE;683;;;;196,486;129,9856;4,603986;14,81549;68,28524;0,7200563;84,65389;2,01637;;;;;44,5426;48,34636;0,9860433;1,06013;;;
17/07/2018;ROC7;14;Temoin;SE;114;;;;190,3377;126,0941;5,891699;16,73012;66,49287;0,9413142;82,20071;2,507863;;;;;44,24826;48,04173;1,118918;1,194524;;;
17/07/2018;ROC7;14;Temoin;SO;132;;;;185,2294;122,7033;3,839604;19,19906;64,86906;0,5190352;80,33722;1,961501;;;;;42,2301;46,04525;0,7363411;0,8279879;;;
17/07/2018;ROC7;14;Temoin;NO;143;;;;188,5263;125,0152;5,246421;15,39007;65,86127;1,114397;81,68435;2,458592;;;;;41,33617;45,08713;0,8336533;0,9438915;;;
17/07/2018;ROC8;14;Exclos;NE;445;;;;59,68734;35,62677;0,9885113;4,923345;27,27555;0,2057363;28,52583;0,5272024;;;;;20,09421;21,20181;0,360405;0,3674582;;;
17/07/2018;ROC8;14;Exclos;SE;444;;;;198,324;132,8226;3,859033;17,05554;68,15509;0,5554231;85,61984;1,904998;;;;;22,21884;23,57593;0,4479359;0,4624575;;;
17/07/2018;ROC8;14;Exclos;SO;443;;;;204,9162;137,8333;4,024894;15,72295;69,90905;0,5747615;87,99319;1,881458;;;;;17,79933;18,72016;0,3542019;0,3658656;;;
17/07/2018;ROC8;14;Exclos;NO;442;;;;215,8365;145,512;3,551163;20,2013;73,16093;0,5126176;92,40108;1,744041;;;;;16,48885;17,25019;0,337655;0,3401;;;
17/07/2018;ROC8;14;Temoin;NE;440;;;;226,9396;153,262;2,642403;15,71895;76,52377;0,4139575;96,83014;1,371641;;;;;16,72606;17,46418;0,2413158;0,2510312;;;
17/07/2018;ROC8;14;Temoin;SE;439;;;;212,6473;142,8164;3,746563;14,82189;72,63389;0,5085959;91,50354;1,794529;;;;;15,76382;16,47317;0,2576397;0,2728277;;;
17/07/2018;ROC8;14;Temoin;SO;438;;;Ombre;212,252;142,657;2,884086;15,12691;72,6979;0,3631942;91,36996;1,505215;;;;;15,26273;15,92854;0,2208241;0,2349738;;;
17/07/2018;ROC8;14;Temoin;NO;437;;;;225,5014;151,9195;2,466515;14,52861;76,71581;0,3942768;96,83177;1,284469;;;;;16,89042;17,7041;0,2155871;0,2224508;;;
17/07/2018;ROC8;1;Exclos;NE;82;;;;217,6995;147,8696;4,00736;9,494614;73,75199;0,5699055;93,2807;1,640997;;;;;16,45534;17,23075;0,2954989;0,3099758;;;
17/07/2018;ROC8;1;Exclos;SE;81;;;Ombre;220,2721;149,0495;3,391621;7,963792;74,51375;0,5112485;94,18476;1,32084;;;;;16,1412;16,88646;0,2001731;0,2022453;;;
17/07/2018;ROC8;1;Exclos;SO;80;;;;212,159;143,384;4,40827;9,890284;72,41411;0,6296321;91,34716;1,627871;;;;;16,43538;17,19607;0,278124;0,2811424;;;
17/07/2018;ROC8;1;Exclos;NO;79;;;;211,5882;143,0417;4,545698;10,41767;72,36504;0,6673249;91,49865;1,708244;;;;;18,56371;19,55829;0,3019833;0,306271;;;
17/07/2018;ROC8;1;Temoin;NE;450;;;;218,5964;147,5454;2,363637;5,271822;74,25983;0,4477141;94,07726;0,8935528;;;;;21,72831;23,11028;0,2259727;0,2273767;;;
17/07/2018;ROC8;1;Temoin;SE;449;;;Ombre;223,1678;151,1318;2,346123;5,846264;75,35446;0,4188135;95,61822;0,8905277;;;;;27,98306;30,09467;0,2872177;0,2964476;;;
17/07/2018;ROC8;1;Temoin;SO;448;;;;204,3852;137,8025;2,202641;6,193008;69,73408;0,4387937;88,13817;0,9201182;;;;;26,19384;27,99009;0,2801552;0,2811592;;;
17/07/2018;ROC8;1;Temoin;NO;447;;;;189,4114;125,9028;2,42831;5,462859;65,72898;0,5135803;82,11112;0,9808288;;;;;20,08037;21,02651;0,2508057;0,2450835;;;
17/07/2018;ROC8;6;Exclos;NE;435;;;;142,7345;92,50396;3,313587;8,401855;52,39498;0,5666539;63,16178;1,259173;;;;;25,94037;27,58324;0,5039669;0,5138547;;;
17/07/2018;ROC8;6;Exclos;SE;434;;;Ombre;146,673;94,89664;2,243735;5,986241;53,15674;0,4009725;64,19289;0,9110602;;;;;22,96969;24,29848;0,3017802;0,3094394;;;
17/07/2018;ROC8;6;Exclos;SO;433;;;Ombre;137,8725;89,2067;1,861933;5,170906;50,47245;0,3320769;60,6858;0,7672287;;;;;21,62995;22,88735;0,2213249;0,2197207;;;
17/07/2018;ROC8;6;Exclos;NO;432;;;;118,9336;75,74873;1,345535;5,271556;44,61948;0,2511712;52,72685;0,671851;;;;;32,08752;34,38244;0,6745288;0,70154;;;
17/07/2018;ROC8;6;Temoin;NE;405;;;Ombre;111,828;70,86237;1,285186;4,994667;42,67348;0,245335;50,00328;0,6470591;;;;;33,15588;35,58459;0,4035142;0,4242868;;;
17/07/2018;ROC8;6;Temoin;SE;404;;;Ombre;111,5477;70,84537;1,298597;4,205727;42,61586;0,2635768;49,82573;0,6228235;;;;Ombre;51,26481;56,22256;0,564748;0,6033221;;;
17/07/2018;ROC8;6;Temoin;SO;403;;;Ombre;104,7165;65,54764;1,277619;4,137604;40,61651;0,2764877;47,21781;0,6414261;;;;;41,7477;45,42616;0,563998;0,5635253;;;
17/07/2018;ROC8;6;Temoin;NO;402;;;Ombre;119,4071;75,39902;1,315436;6,339652;44,72191;0,2264988;52,63726;0,703545;;;;;43,44836;47,20317;0,5370762;0,5727956;;;
17/07/2018;ROC8;10;Exclos;NE;410;;;;193,3927;130,5192;5,834991;11,64974;66,1792;0,8648804;83,18296;1,970768;;;;;45,05907;49,03588;1,033871;1,089399;;;
17/07/2018;ROC8;10;Exclos;SE;409;;;;202,3614;136,0805;2,209549;6,664933;69,22624;0,3838803;87,03213;0,8629541;;;;Ombre;45,45562;49,66479;0,475717;0,4966218;;;
17/07/2018;ROC8;10;Exclos;SO;408;;;;154,7906;101,1096;3,308059;9,000958;56,96127;0,5487916;69,78012;1,258425;;;;;47,01182;51,44345;0,7947783;0,8261104;;;
17/07/2018;ROC8;10;Exclos;NO;407;;;;135,8192;88,56786;3,671689;8,76833;49,65734;0,5723014;59,35823;1,377465;;;;;44,17604;48,03354;1,056637;1,113606;;;
17/07/2018;ROC8;10;Temoin;NE;426;;;;244,5539;165,337;3,992512;11,79918;82,05026;0,5797458;104,2206;1,5093;;;;;48,49035;52,8536;0,7751378;0,8356992;;;
17/07/2018;ROC8;10;Temoin;SE;425;;;;219,064;145,9691;2,811739;8,484776;74,89143;0,4762939;93,82802;1,152008;;;;Ombre;48,58165;53,15168;0,5314043;0,5740193;;;
17/07/2018;ROC8;10;Temoin;SO;424;;;;235,0203;158,4258;4,065964;12,71996;79,22087;0,6655707;100,3584;1,65461;;;;;48,76289;53,13039;0,7434505;0,8107885;;;
17/07/2018;ROC8;10;Temoin;NO;423;;;;169,1109;110,4242;2,169536;7,372419;61,13922;0,3379329;74,62619;0,9368953;;;;Ombre;49,51919;54,19987;0,5517793;0,607798;;;
17/07/2018;ROC8;4;Exclos;NE;421;;;;255,4764;173,8577;4,905537;10,94718;84,40596;0,7561018;108,3353;1,600279;;;;;26,13524;27,6658;0,4405609;0,4415869;;;
17/07/2018;ROC8;4;Exclos;SE;420;;;;83,61214;52,98149;2,171766;3,828321;34,05103;0,41;38,22937;0,7484348;;;;;35,27079;37,97251;0,6710913;0,6893697;;;
17/07/2018;ROC8;4;Exclos;SO;419;;;;87,63622;55,4911;2,298492;4,167333;35,30268;0,4367186;39,96255;0,822602;;;;;39,30166;42,59439;0,7154193;0,7370453;;;
