Date;Parcelle;Traitement;Exclos;Sous_parcelle;Medaille;Temp_eau_thermique;Temp;pH;Type_sol;Humidite_pourc;Temp_wet;Front_degel;Conductivite;Hmoyenne;Hmax_veg;Hmax_repro;Temp_vasculaires;Temp_mousses;Hobo_Out;Prof_hobo;Hobo_In;Couv_hobo;EC_Smart;Humidity_Smart;Temp_Smart;Flux_CH4;Flux_CO2;Flux_H2O;Eau;Niveau_Eau;Remarque
13/07/17;71;PA;Temoin;;3;;;;Organique;90,9;5,4;20;;;;;;;;;;;;;;;;;;;
13/07/17;71;PA;Exclos;;1;;;;Organique;84,4;6,5;20;;;;;;;;;20177068;;;;;;;;;;
13/07/17;71;PA;Exclos;;2;;;;Organique;74,8;4,7;20;;;;;;;;;;;;;;;;;;;
13/07/17;71;PA;Exclos;;3;;;;Organique;82;3,9;21;;;;;;;;;;;;;;;;;;;
06/07/17;ROC7;4;Temoin;;1;;;;Organique;96,2;11,1;20;;;;;;;;;20156704;;;;;;;;;;
06/07/17;ROC7;4;Temoin;;2;;;;Organique;97,5;9,6;20;;;;;;;;;;;;;;;;;;;
06/07/17;ROC7;4;Temoin;;3;;;;Organique;97,7;8,9;21;;;;;;;;;;;;;;;;;;;
06/07/17;ROC7;4;Exclos;;1;;;;Organique;98,4;7,7;21;;;;;;;;;20156683;;;;;;;;;;
06/07/17;ROC7;4;Exclos;;2;;;;Organique;98,1;7,6;21;;;;;;;;;;;;;;;;;;;
06/07/17;ROC7;4;Exclos;;3;;;;Organique;97,1;7,2;23;;;;;;;;;;;;;;;;;;;
02/07/17;ROC6;4;Temoin;;1;;;;Organique;87,7;9,8;20;;;;;;;;;20151595;;;;;;;;;;
02/07/17;ROC6;4;Temoin;;2;;;;Organique;90;9,8;20;;;;;;;;;;;;;;;;;;;
02/07/17;ROC6;4;Temoin;;3;;;;Organique;88,5;10,4;19;;;;;;;;;;;;;;;;;;;
02/07/17;ROC6;4;Exclos;;1;;;;Organique;87,7;8,8;20;;;;;;;;;20156709;;;;;;;;;;
02/07/17;ROC6;4;Exclos;;2;;;;Organique;89,2;7,9;20;;;;;;;;;;;;;;;;;;;
02/07/17;ROC6;4;Exclos;;3;;;;Organique;88,5;8,3;22;;;;;;;;;;;;;;;;;;;
11/07/17;56;PH;Temoin;;1;;;;Organique;85,7;7,9;26;;;;;;;;;20151606;;;;;;;;;;
11/07/17;56;PH;Temoin;;2;;;;Organique;81,3;7,3;29;;;;;;;;;;;;;;;;;;;
11/07/17;56;PH;Temoin;;3;;;;Organique;85,8;7,4;28;;;;;;;;;;;;;;;;;;;
11/07/17;56;PH;Exclos;;1;;;;Organique;83,8;5,3;14;;;;;;;;;20151584;;;;;;;;;;
11/07/17;56;PH;Exclos;;2;;;;Organique;57,9;5,3;15;;;;;;;;;;;;;;;;;;;
11/07/17;56;PH;Exclos;;3;;;;Organique;46,4;5,8;12;;;;;;;;;;;;;;;;;;;
30/06/17;ROC8;14;Temoin;;1;;;;Organique;98;7,6;16;;;;;;;;;20156687;;;;;;;;;;
30/06/17;ROC8;14;Temoin;;2;;;;Organique;95;7,8;16;;;;;;;;;;;;;;;;;;;
30/06/17;ROC8;14;Temoin;;3;;;;Organique;93,1;7,8;15;;;;;;;;;;;;;;;;;;;
30/06/17;ROC8;14;Exclos;;1;;;;Organique;41,3;9,3;4;;;;;;;;;20156688;;;;;;;;;;
30/06/17;ROC8;14;Exclos;;2;;;;Organique;29,8;8,6;6;;;;;;;;;;;;;;;;;;;
30/06/17;ROC8;14;Exclos;;3;;;;Organique;42,7;8;5;;;;;;;;;;;;;;;;;;;
30/06/17;ROC8;10;Temoin;;1;;;;Organique;94,7;7,7;22;;;;;;;;;20156714;;;;;;;;;;
30/06/17;ROC8;10;Temoin;;2;;;;Organique;94;8,4;18;;;;;;;;;;;;;;;;;;;
30/06/17;ROC8;10;Temoin;;3;;;;Organique;94,7;8,8;19;;;;;;;;;;;;;;;;;;;
30/06/17;ROC8;10;Exclos;;1;;;;Organique;96,1;4,6;14;;;;;;;;;20156716;;;;;;;;;;
30/06/17;ROC8;10;Exclos;;2;;;;Organique;95,5;8,2;16;;;;;;;;;;;;;;;;;;;
30/06/17;ROC8;10;Exclos;;3;;;;Organique;96,2;8,1;15;;;;;;;;;;;;;;;;;;;
02/07/17;ROC6;1;Temoin;;1;;;;Organique;90,1;9,7;9;;;;;;;;;10122889;;;;;;;;;;
02/07/17;ROC6;1;Temoin;;2;;;;Organique;89,3;11,1;16;;;;;;;;;;;;;;;;;;;
02/07/17;ROC6;1;Temoin;;3;;;;Organique;89,1;10,1;19;;;;;;;;;;;;;;;;;;;
02/07/17;ROC6;1;Exclos;;1;;;;Organique;89,3;8;17;;;;;;;;;20156681;;;;;;;;;;
02/07/17;ROC6;1;Exclos;;2;;;;Organique;89,2;7,5;10;;;;;;;;;;;;;;;;;;;
02/07/17;ROC6;1;Exclos;;3;;;;Organique;88,9;5,6;17;;;;;;;;;;;;;;;;;;;
02/07/17;ROC6;6;Temoin;;1;;;;Organique;88,4;10;17;;;;;;;;;20156689;;;;;;;;;;
02/07/17;ROC6;6;Temoin;;2;;;;Organique;86,7;10,8;17;;;;;;;;;;;;;;;;;;;
02/07/17;ROC6;6;Temoin;;3;;;;Organique;88,7;10,5;13;;;;;;;;;;;;;;;;;;;
02/07/17;ROC6;6;Exclos;;1;;;;Organique;85,5;7,6;4;;;;;;;;;20141226;;;;;;;;;;
02/07/17;ROC6;6;Exclos;;2;;;;Organique;86,4;5,4;7;;;;;;;;;;;;;;;;;;;
02/07/17;ROC6;6;Exclos;;3;;;;Organique;86,5;6;3;;;;;;;;;;;;;;;;;;;
30/06/17;ROC7;1;Temoin;;1;;;;Organique;96,2;10,1;16;;;;;;;;;20156706;;;;;;;;;;
30/06/17;ROC7;1;Temoin;;2;;;;Organique;94,7;10,6;9;;;;;;;;;;;;;;;;;;;
30/06/17;ROC7;1;Temoin;;3;;;;Organique;96,6;9,9;17;;;;;;;;;;;;;;;;;;;
30/06/17;ROC7;1;Exclos;;1;;;;Organique;95,5;5,3;14;;;;;;;;;20145727;;;;;;;;;;
30/06/17;ROC7;1;Exclos;;2;;;;Organique;97,7;6,3;5;;;;;;;;;;;;;;;;;;;
30/06/17;ROC7;1;Exclos;;3;;;;Organique;97,5;6,5;15;;;;;;;;;;;;;;;;;;;
30/06/17;ROC7;10;Temoin;;1;;;;Organique;90,2;5,7;12;;;;;;;;;20156685;;;;;;;;;;
30/06/17;ROC7;10;Temoin;;2;;;;Organique;96,3;5,3;10;;;;;;;;;;;;;;;;;;;
30/06/17;ROC7;10;Temoin;;3;;;;Organique;91,2;5,7;9;;;;;;;;;;;;;;;;;;;
30/06/17;ROC7;10;Exclos;;1;;;;Organique;;;1;;;;;;;;;;;;;;;;;;;
30/06/17;ROC7;10;Exclos;;2;;;;Organique;;;1;;;;;;;;;;;;;;;;;;;
30/06/17;ROC7;10;Exclos;;3;;;;Organique;;;1;;;;;;;;;;;;;;;;;;;
07/07/17;ROC3;4;Temoin;;1;;;;Organique;94;9,6;17;;;;;;;;;20151596;;;;;;;;;;
07/07/17;ROC3;4;Temoin;;2;;;;Organique;94,6;10,2;21;;;;;;;;;;;;;;;;;;;
07/07/17;ROC3;4;Temoin;;3;;;;Organique;99;9,3;17;;;;;;;;;;;;;;;;;;;
07/07/17;ROC3;4;Exclos;;1;;;;Organique;87;11,9;23;;;;;;;;;10358262;;;;;;;;;;
07/07/17;ROC3;4;Exclos;;2;;;;Organique;90,2;7,9;19;;;;;;;;;;;;;;;;;;;
07/07/17;ROC3;4;Exclos;;3;;;;Organique;99,5;7,1;21;;;;;;;;;;;;;;;;;;;
07/07/17;ROC4;1;Temoin;;1;;;;Organique;98,9;7,4;18;;;;;;;;;20151609;;;;;;;;;;
07/07/17;ROC4;1;Temoin;;2;;;;Organique;84,8;6,9;17;;;;;;;;;;;;;;;;;;;
07/07/17;ROC4;1;Temoin;;3;;;;Organique;98,7;6,8;15;;;;;;;;;;;;;;;;;;;
07/07/17;ROC4;1;Exclos;;1;;;;Organique;91,6;8,8;10;;;;;;;;;20151583;;;;;;;;;;
07/07/17;ROC4;1;Exclos;;2;;;;Organique;91,3;12,4;12;;;;;;;;;;;;;;;;;;;
07/07/17;ROC4;1;Exclos;;3;;;;Organique;96,8;11,3;14;;;;;;;;;;;;;;;;;;;
07/07/17;ROC4;10;Temoin;;1;;;;Organique;96,2;9,2;21;;;;;;;;;20235806;;;;;;;;;;
07/07/17;ROC4;10;Temoin;;2;;;;Organique;97,3;9,5;18;;;;;;;;;;;;;;;;;;;
